Name;CO2;Category
tap water;0;water
mussel;0.22;unprepared shellfish
vegan bacon;0.25;baconSubstitute.beefSubstitute
kale;0.25;vegetableSubstitute
white cabbage;0.25;vegetableSubstitute
turnip;0.25;vegetableSubstitute
carrot;0.25;vegetableSubstitute
brussels sprout;0.25;vegetableSubstitute.saladSubstitute
red cabbage;0.25;vegetableSubstitute.saladSubstitute
spring cabbage;0.25;vegetableSubstitute.saladSubstitute
chinese cabbage;0.25;vegetableSubstitute.saladSubstitute
savoy cabbage;0.25;vegetableSubstitute.saladSubstitute
rhubarb;0.03;fruits
fresh basil;0.03;herbs
celeriac;0.03;vegetableSubstitute
celery;0.03;vegetableSubstitute
red beet;0.31;vegetableSubstitute.slicedVegetableSubstitute
chives;0.32;herbs
leek;0.32;vegetableSubstitute
