Name;Total kg CO2-eq/kg
Pepper, sweet, red, raw;1,02
Tomato, ripe, raw, origin unknown;0,70
Squash, raw;0,83
Aubergine, raw;0,97
Tomato, dried;1,95
Pumpkin, raw;0,83
Cucumber, raw;0,56
Gherkin cucumber, raw;0,56
Pepper, hot chili, raw;1,02
Beef, topside, cap off, raw;45,69
Beef, fillet, defatted, raw;151,95
Beef, mince, 10-15% fat, raw;32,51
Beef, rump, raw;45,69
Beef, mince, 15-20% fat, raw;30,84
Beef, T-bone steak, raw;80,89
Beef, mince, 5-10% fat, raw;34,19
Beer, lager, alc. 4.4 % by vol.;0,60
Beer, Danish household, low alcohol;0,60
Beer, strong, alc. 7.6 % by vol.;0,60
Biscuit, sweet;2,75
Biscuit, wholemeal, digestive type;2,73
Butter cookie, wheat, Danish, industrially produced;2,98
American inspired cookie;2,73
Granola bar;2,88
Wafer sticks;2,10
Bread-crumbs;1,26
Crispbread, knackebrot, rye, coarse;1,08
Wheat bread, for toasting, industrially produced;0,74
Bread, white, for sausages;0,74
Bread, white, roll, coarse grain;0,74
Rye bread, dark, whole grains, industrially produced;0,62
Rye bread crumbs with brown sugar, average values;1,56
Corn flakes, average values;1,51
Breakfast cereal, müsli, average values;1,76
Breakfast cereal, Guldkorn;2,12
Breakfast cereal, Havrefras;1,70
Butter, salt added;3,92
Blended spread, 75% fat;3,80
Plain cake, chocolate cake;2,15
Danish pastry, kanelsnegl;1,77
Plain cake, average values;2,15
Cream pastry, layer cake;2,15
Cookie, truffle product / unbaked, industrially produced;2,63
Bacon, frying, raw;4,80
Sausage, salami;5,06
Pork, ham, boiled, sliced;3,38
Roastbeef, sliced;45,84
Pork, sausage, Danish, raw;2,21
Pork, liver paste, Danish;3,51
Pork, flank, spiced, cooked;3,38
Pork sausage, Thüringer bratwurst;1,81
Chicken, breast, boiled, sliced;3,25
Chicken, leg, flesh and skin, raw;1,39
Chicken, drumstick, flesh and skin, raw;1,32
Chicken, breast, flesh and skin, raw;3,44
Chicken, sausage;1,44
Chicken, hen, flesh and skin, raw;2,22
Tea, leaves;8,41
Coffee, instant, powder;10,11
Coffee bean, roasted, ground;3,18
Cocoa, instant, without milk, powder;4,98
Cocoa, powder;4,98
Lamb, flank, spiced, cooked;24,75
Sausage, beef salami;34,11
Pork, saddle, smoked, boiled;3,38
Salad dressing, oil and vinegar;4,02
Salad dressing, thousand island;4,86
Water, tap, drinking, average values;0,00
Duck, flesh only, raw;2,27
Goose, flesh only, raw;2,27
Mackerel mayonnaise salad;4,18
Sauce gravad lax;2,03
Italian mayonnaise salad;3,55
Curry mayonnaise salad;3,55
Yogurt plain, whole milk;1,08
Cream, cultured, 18 % fat;2,02
Skyr, 0.2 % fat;1,25
Cheese, firm, Danbo, 45 % fidm.;7,72
Cheese, hard, Parmesan, 32 % fidm.;7,72
Cheese, semihard, Mozzarella, 30 % fidm.;7,72
Herring, pickled, canned;2,83
Fish balls, canned;5,74
Fish pudding, raw;8,00
Cod, liver, canned;16,72
