Name;CO2;Category
tap water;0;water
mussel;0,22;unprepared shellfish
vegan bacon;0,25;baconSubstitute,beefSubstitute
kale;0,25;vegetableSubstitute
white cabbage;0,25;vegetableSubstitute
turnip;0,25;vegetableSubstitute
carrot;0,25;vegetableSubstitute
brussels sprout;0,25;vegetableSubstitute,saladSubstitute
red cabbage;0,25;vegetableSubstitute,saladSubstitute
spring cabbage;0,25;vegetableSubstitute,saladSubstitute
chinese cabbage;0,25;vegetableSubstitute,saladSubstitute
savoy cabbage;0,25;vegetableSubstitute,saladSubstitute
rhubarb;0,3;fruits
fresh basil;0,3;herbs
celeriac;0,3;vegetableSubstitute
celery;0,3;vegetableSubstitute
red beet;0,31;vegetableSubstitute,slicedVegetableSubstitute
chives;0,32;herbs
leek;0,32;vegetableSubstitute
portobello mushroom;0,36;chickenSubstitute,beefSubstitute
potato;0,36;vegetableSubstitute
parsley;0,37;herbs
dill;0,37;herbs
cress;0,37;herbs
oatmilk;0,37;milk product
frozen carrot;0,37;vegetableSubstitute
radish;0,37;vegetableSubstitute,slicedVegetableSubstitute
soymilk;0,38;milk product
pear;0,38;pome fruits
chicken bouillon;0,38;spices
ricemilk;0,39;milk product
sliced mushroom;0,41;vegetableSubstitute,slicedVegetableSubstitute
table salt;0,44;spices
octopus;0,46;unprepared shellfish
mushroom;0,47;chickenSubstitute,beefSubstitute
oyster mushroom;0,47;chickenSubstitute,beefSubstitute
skimmed milk;0,48;milk product
pea drink;0,48;milk product
arugula salad;0,48;vegetable meals
corn cob;0,49;vegetableSubstitute
spinach;0,52;saladSubstitute
prepared beef bouillon;0,52;spices
black currant;0,53;berries/small fruit
red currant;0,53;berries/small fruit
strawberry;0,56;berries/small fruit
cucumber;0,56;vegetableSubstitute,slicedVegetableSubstitute
plum;0,58;stone fruit
lettuce iceberg;0,59;vegetableSubstitute,saladSubstitute
looseleaf lettuce;0,59;vegetableSubstitute,saladSubstitute
partly skimmed milk;0,61;milk product
canned sweetcorn kernel;0,61;vegetableSubstitute
baby corn;0,61;vegetableSubstitute
rye bread;0,62;bread
corn flour;0,63;grains/flour
frozen spinach;0,64;vegetableSubstitute
rose hip;0,65;berries/small fruit
pineapple;0,65;fruits
skimmed chocolate milk;0,65;milk product
frozen french fries;0,65;vegetableSubstitute
apple;0,66;pome fruits
green pea;0,67;peas
canned mushroom;0,7;vegetableSubstitute
tomato;0,7;vegetableSubstitute,slicedVegetableSubstitute
honeydew melon;0,71;fruits
cauliflower;0,71;vegetableSubstitute
broccoli;0,71;vegetableSubstitute
canned red cabbage;0,73;vegetableSubstitute
toast bread;0,74;bread
bread;0,74;bread
hot dog bread;0,74;bread
bread roll;0,74;bread
tortilla bread;0,74;bread
burger bun;0,74;bread
sugar pea;0,74;peas
cassava;0,74;vegetableSubstitute
cherry;0,75;stone fruit
rye flour;0,77;grains/flour
rye kernel;0,77;grains/flour
honey;0,77;sweet spreads
watermelon;0,78;fruits
whole milk;0,79;milk product
orange;0,81;citrus
barley groat;0,83;grains/flour
canned pear;0,83;processed fruit
canned red beet;0,83;vegetableSubstitute
pumpkin;0,83;vegetableSubstitute
squash;0,83;vegetableSubstitute,slicedVegetableSubstitute
raspberry;0,84;berries/small fruit
wheat flour;0,84;grains/flour
wheat kernel;0,84;grains/flour
frozen cauliflower;0,84;vegetableSubstitute
frozen broccoli;0,84;vegetableSubstitute
gooseberry;0,85;berries/small fruit
eggs;0,85;eggs
grapefruit;0,86;citrus
frozen raspberry;0,86;processed fruit
cranberry;0,87;berries/small fruit
lime;0,87;citrus
frozen green pea;0,87;vegetableSubstitute
canned chickpeas;0,88;vegetableSubstitute,chickenSubstitute,beefSubstitute
asparagus;0,88;vegetableSubstitute,slicedVegetableSubstitute
parsley root;0,89;vegetableSubstitute
canned potato;0,89;vegetableSubstitute
onion;0,9;vegetableSubstitute,slicedVegetableSubstitute
spring onion;0,9;vegetableSubstitute,slicedVegetableSubstitute
red onion;0,9;vegetableSubstitute,slicedVegetableSubstitute
blackberry;0,91;berries/small fruit
elderberry;0,91;berries/small fruit
kiwi fruit;0,93;fruits
mango;0,93;fruits
syrup;0,93;sugar
lemon;0,94;citrus
grape;0,94;citrus
oats;0,95;grains/flour
peach;0,96;stone fruit
nectarine;0,96;stone fruit
tangerine;0,97;citrus
buttermilk soup;0,97;milk product
aubergine;0,97;vegetableSubstitute,slicedVegetableSubstitute
banana;0,98;fruits
artichoke;0,98;vegetableSubstitute
french fries;0,98;vegetableSubstitute
vegan cheese;1;cheeseSubstitute
pepper;1,02;peppers
chili;1,02;peppers
frozen blueberry;1,02;processed fruit
wax bean;1,04;beans
green bean;1,04;beans
mung bean sprout;1,04;vegetableSubstitute,chickenSubstitute,beefSubstitute
bean sprout;1,04;vegetableSubstitute,chickenSubstitute,beefSubstitute
kidney bean;1,05;beans
black bean;1,05;chickenSubstitute
apricot;1,05;stone fruit
avocado;1,07;fruits
fettucine spinach pasta;1,08;pasta/noodles
whole milk yogurt;1,08;yogurt
cream potato;1,1;vegetableSubstitute
rice groat;1,11;processed cereal products
oyster;1,13;unprepared shellfish
rice flour;1,14;grains/flour
parboiled bulgur;1,15;grains/flour
noodle;1,15;pasta/noodles
kamut;1,15;processed cereal products
dried soy bean;1,16;beans
potato salad;1,18;vegetableSubstitute
canned bamboo shoot;1,21;vegetableSubstitute
low fat mayonnaise;1,22;sauces/condiments
skyr;1,25;yogurt
breadcrumbs;1,26;bread
canned tomatojuice;1,26;sauces/condiments
canned peeled tomato;1,26;vegetableSubstitute
parboiled rice;1,28;grains/flour
canned pineapple;1,3;processed fruit
potato flour;1,31;grains/flour
chicken drumstick;1,32;chickenSubstitute
garlic;1,33;vegetableSubstitute
canned green pea;1,36;peas
chicken leg;1,39;chickenSubstitute
caper;1,39;vegetableSubstitute
rice noodle;1,41;pasta/noodles
frozen green bean;1,42;beans
chicken sausage;1,44;chickenSubstitute
